action_id,objective_id,similarity
A1,S1,0.10086589306592941
A1,S2,0.1014581099152565
A1,S3,0.30781424045562744
A1,S4,0.30073967576026917
A1,S5,0.1397598385810852
A2,S1,0.4561617374420166
A2,S2,0.264165461063385
A2,S3,0.04967710003256798
A2,S4,0.04121023789048195
A2,S5,0.07400734722614288
A3,S1,0.4578215479850769
A3,S2,0.23994016647338867
A3,S3,0.13124589622020721
A3,S4,0.048663608729839325
A3,S5,0.12493705004453659
A4,S1,0.2050912082195282
A4,S2,0.25308549404144287
A4,S3,0.14362141489982605
A4,S4,0.04535592719912529
A4,S5,0.03678151220083237
A5,S1,0.4057222604751587
A5,S2,0.23211467266082764
A5,S3,0.22366827726364136
A5,S4,0.10785363614559174
A5,S5,0.15333439409732819
A6,S1,0.1684419810771942
A6,S2,0.06172138452529907
A6,S3,0.19809475541114807
A6,S4,0.22615469992160797
A6,S5,0.16683152318000793
A7,S1,0.3855173587799072
A7,S2,0.2104969024658203
A7,S3,0.25102129578590393
A7,S4,0.3585060238838196
A7,S5,0.22643059492111206
A8,S1,0.36817997694015503
A8,S2,0.10840051621198654
A8,S3,0.08202007412910461
A8,S4,0.12073853611946106
A8,S5,0.17528891563415527
A9,S1,0.4037995934486389
A9,S2,0.17931799590587616
A9,S3,0.24961093068122864
A9,S4,0.15832597017288208
A9,S5,0.21453095972537994
A10,S1,0.34064698219299316
A10,S2,0.15806816518306732
A10,S3,0.2116779088973999
A10,S4,0.017466023564338684
A10,S5,0.11499077081680298
A11,S1,0.1667780876159668
A11,S2,0.28651225566864014
A11,S3,0.10712921619415283
A11,S4,0.19141808152198792
A11,S5,0.09457710385322571
A12,S1,0.34155726432800293
A12,S2,0.3240712285041809
A12,S3,0.3394821286201477
A12,S4,0.24459761381149292
A12,S5,0.1522188037633896
A13,S1,0.22494396567344666
A13,S2,0.3339911103248596
A13,S3,0.16563285887241364
A13,S4,0.19286952912807465
A13,S5,0.21955426037311554
A14,S1,0.2962375283241272
A14,S2,0.42854446172714233
A14,S3,0.31840085983276367
A14,S4,0.22733862698078156
A14,S5,0.16871850192546844
A15,S1,0.2205476313829422
A15,S2,0.3389713764190674
A15,S3,0.2084258496761322
A15,S4,0.11197731643915176
A15,S5,0.214485764503479
A16,S1,0.47472143173217773
A16,S2,0.27897584438323975
A16,S3,0.15741407871246338
A16,S4,0.11008983850479126
A16,S5,0.10904975980520248
A17,S1,0.3935416340827942
A17,S2,0.5191773176193237
A17,S3,0.17634694278240204
A17,S4,0.10184866189956665
A17,S5,0.12448374927043915
A18,S1,0.2303633838891983
A18,S2,0.4292610287666321
A18,S3,0.19965222477912903
A18,S4,0.15929099917411804
A18,S5,0.13778871297836304
A19,S1,0.27553194761276245
A19,S2,0.1481168568134308
A19,S3,0.19675560295581818
A19,S4,0.2053116261959076
A19,S5,0.155792236328125
A20,S1,0.40111243724823
A20,S2,0.33693310618400574
A20,S3,0.1848650872707367
A20,S4,0.23801714181900024
A20,S5,0.10929335653781891
A21,S1,0.0052451868541538715
A21,S2,0.11698232591152191
A21,S3,0.3835600018501282
A21,S4,0.30051496624946594
A21,S5,0.34231865406036377
A22,S1,0.011304295621812344
A22,S2,0.04229191318154335
A22,S3,0.10991843044757843
A22,S4,0.0069067273288965225
A22,S5,0.08446026593446732
A23,S1,0.24671517312526703
A23,S2,0.13529999554157257
A23,S3,0.4193011522293091
A23,S4,0.10646165907382965
A23,S5,0.23518091440200806
A24,S1,0.08460570126771927
A24,S2,0.09344905614852905
